raMean,decMean,raMeanErr,decMeanErr,gMeanPSFMag,gMeanPSFMagErr,rMeanPSFMag,rMeanPSFMagErr,iMeanPSFMag,iMeanPSFMagErr,zMeanPSFMag,zMeanPSFMagErr
114.5817439,21.8464944,0.016,0.016,21.667,0.179,21.658,0.05,20.613,0.027,20.21,0.048
114.5817713,21.5896211,0.008,0.009,15.58,0.004,15.363,0.004,15.309,0.005,15.328,0.003
114.5818676,21.5468605,0.137,0.171,18.769,0.01,18.354,0.007,18.299,0.007,18.145,0.028
114.5819335,21.8809402,0.011,0.023,21.277,0.065,20.93,0.025,20.799,0.028,20.553,0.008
114.5819523,21.2806527,0.006,0.003,14.627,0.003,14.438,0.002,14.41,0.002,14.43,0.009
114.5820144,21.5641472,0.001,0.002,17.099,0.004,16.743,0.002,16.619,0.004,16.603,0.006
114.5820452,21.5196188,0.004,0.002,15.78,0.003,15.545,0.001,15.493,0.002,15.505,0.004
114.5820827,21.3376792,0.014,0.018,21.378,0.057,20.117,0.013,18.805,0.007,18.197,0.014
114.582099,21.4786764,0.014,0.014,21.073,0.067,20.314,0.031,19.858,0.05,19.68,0.035
114.5821915,21.6145014,0.004,0.003,14.63,0.002,14.074,0.004,13.86,0.001,13.766,0.002
114.5822116,21.5984306,0.003,0.001,14.771,0.003,14.585,0.003,14.537,0.004,14.559,0.00017
114.5822316,21.3955666,0.006,0.026,18.597,0.008,18.2,0.005,18.029,0.009,17.994,0.01
114.5823236,21.8148749,0.013,0.013,21.811,0.155,21.499,0.033,20.354,0.046,19.734,0.054
114.5823623,21.4986001,0.014,0.01,21.132,0.03,20.648,0.014,20.458,0.024,20.485,0.067
114.5824783,21.6009614,0.003,0.009,18.968,0.008,18.289,0.004,18.04,0.008,17.924,0.016
114.5825469,21.5623627,0.015,0.01,21.427,0.055,20.279,0.013,18.945,0.006,18.344,0.017
114.5825758,21.5495872,0.007,0.015,18.88,0.013,18.202,0.005,17.984,0.021,17.863,0.009
114.5826216,21.5535705,0.005,0.012,17.898,0.006,17.292,0.003,17.069,0.003,16.972,0.004
114.5826589,21.4844138,0.006,0.007,20.33,0.014,19.098,0.006,18.331,0.008,17.953,0.015
114.5826601,21.4397144,0.025,0.032,21.76,0.15,21.105,0.026,19.785,0.092,19.25,0.059
114.5826827,21.3434611,0.011,0.003,21.263,0.053,20.156,0.008,19.36,0.013,18.943,0.029
114.5827504,21.5804597,0.007,0.005,19.56,0.009,18.518,0.008,18.072,0.003,17.855,0.003
114.5828066,21.2562458,0.009,0.009,21.863,0.138,20.498,0.022,19.968,0.016,19.771,0.024
114.5828754,21.751803,0.022,0.035,21.152,0.062,20.593,0.017,20.345,0.015,20.449,0.019
114.5829587,21.2478346,0.002,0.003,16.881,0.002,16.512,0.002,16.387,0.005,16.354,0.003
114.5830428,21.521198,0.002,0.004,17.596,0.005,17.116,0.003,16.927,0.006,16.858,0.004
114.5830455,21.7733965,0.006,0.005,17.815,0.008,17.301,0.003,17.089,0.005,17.016,0.005
114.5832529,21.6164353,0.01,0.008,18.156,0.007,17.574,0.003,17.339,0.005,17.233,0.007
114.5832655,21.7390385,0.034,0.033,20.214,0.127,19.83,0.015,19.678,0.017,19.643,0.037
114.58342,21.5721787,0.003,0.007,17.434,0.004,17.019,0.003,16.89,0.004,16.86,0.004
114.5834328,21.4645128,0.05,0.079,13.887,0.003,13.012,-999,12.612,-999,12.387,-999
114.5835148,21.2757683,0.016,0.015,20.938,0.033,20.612,0.03,20.463,0.027,20.578,0.052
114.5835224,21.5599867,0.006,0.002,19.111,0.011,18.36,0.003,18.07,0.011,17.916,0.009
114.5835638,21.5812234,0.006,0.003,17.01,0.003,16.66,0.002,16.536,0.004,16.526,0.002
114.5836051,21.4746507,0.016,0.021,18.866,0.016,18.191,0.005,17.918,0.009,17.787,0.015
114.5836339,21.3504153,0.024,0.024,22.026,0.058,21.581,0.057,21.138,0.118,20.566,0.106
