raMean,decMean,raMeanErr,decMeanErr,gMeanPSFMag,gMeanPSFMagErr,rMeanPSFMag,rMeanPSFMagErr,iMeanPSFMag,iMeanPSFMagErr,zMeanPSFMag,zMeanPSFMagErr,yMeanPSFMag,yMeanPSFMagErr
8.868735,11.8680924,0.01,0.006,18.189,0.006,16.988,0.004,16.124,0.002,15.695,0.006,15.504,0.002
8.8687379,11.5011184,0.012,0.011,21.168,0.039,20.831,0.019,20.666,0.021,20.619,0.061,20.482,0.165
8.8687624,12.2561129,0.017,0.014,20.102,0.016,20.031,0.079,20.121,0.032,19.893,0.035,19.763,0.076
8.8687682,11.6325652,0.011,0.011,22.108,0.094,21.246,0.028,20.251,0.021,19.776,0.02,19.51,0.035
8.8687742,11.6335622,0.005,0.005,21.863,0.05,20.611,0.017,19.235,0.012,18.638,0.012,18.287,0.019
8.8687829,12.2256751,0.006,0.006,19.981,0.009,18.882,0.009,18.354,0.006,18.153,0.008,18.01,0.014
8.8687855,11.8539319,0.006,0.003,19.481,0.012,19.191,0.007,19.057,0.01,19.045,0.011,19.095,0.03
8.8687877,11.3876054,0.012,0.012,22.511,0.207,22.059,0.093,20.387,0.004,19.483,0.023,19.037,0.028
8.8687958,11.5536785,0.007,0.012,21.393,0.041,20.124,0.016,18.934,0.012,18.419,0.011,18.15,0.015
8.8688,11.5294002,0.013,0.018,21.144,0.038,20.761,0.024,20.619,0.051,20.612,0.054,20.184,0.127
8.8688061,12.0577237,0.033,0.021,21.718,0.083,21.137,0.06,21.002,0.063,20.81,0.041,20.517,0.152
8.8688108,11.9204138,0.008,0.014,22.157,0.165,21.23,0.025,19.858,0.03,19.246,0.011,18.923,0.027
8.8688125,12.1350157,0.014,0.013,21.727,0.085,21.005,0.023,20.725,0.032,20.593,0.065,20.384,0.211
8.8688164,12.2022885,0.002,0.005,16.883,0.002,16.095,0.002,15.777,0.004,15.656,0.003,15.561,0.003
8.8688165,12.0484316,0.012,0.008,16.23,0.003,15.883,0.002,15.787,0.003,15.783,0.007,15.766,0.009
8.86883,11.9874247,0.108,0.083,22.065,0.017,21.658,0.075,21.721,0.038,21.264,0.101,20.721,0.186
8.868834,12.0344358,0.021,0.025,22.104,0.059,21.252,0.029,20.843,0.056,20.654,0.078,20.207,0.258
8.8688342,11.4201978,0.014,0.008,15.271,0.002,14.768,0.002,14.553,0.003,14.48,0.002,14.404,0.004
8.8688351,12.2692831,0.009,0.005,20.987,0.034,19.809,0.005,19.256,0.012,19.022,0.018,18.842,0.019
8.8688423,11.7597867,0.031,0.008,16.591,0.006,16.159,0.001,15.999,0.006,15.947,0.005,15.914,0.007
8.8688467,11.830539,0.003,0.005,14.034,0.002,13.681,0.000315,13.605,0.011,13.601,0.000505,13.59,0.004
8.8688944,11.5032033,0.002,0.002,18.981,0.01,18.15,0.006,17.771,0.008,17.554,0.008,17.461,0.011
8.8688995,12.2657294,0.003,0.011,17.367,0.003,16.441,0.003,16.094,0.005,15.93,0.003,15.838,0.004
8.8689045,11.9205231,0.03,0.027,21.963,0.172,22.058,0.088,20.794,0.038,20.342,0.063,20.1,0.04
8.8689134,12.0420991,0.012,0.015,21.287,0.069,20.714,0.034,20.331,0.045,20.282,0.022,20.138,0.068
8.868927,12.0981314,0.015,0.006,21.613,0.037,20.466,0.014,19.369,0.013,18.819,0.007,18.639,0.02
8.8689298,12.0074005,0.029,0.034,21.176,0.082,21.244,0.088,21.092,0.063,20.706,0.06,20.545,0.158
8.868941,12.2629034,0.004,0.014,14.418,0.002,14.042,0.001,13.917,0.002,13.88,0.002,13.865,0.003
8.8689445,11.8513805,0.003,0.004,20.177,0.01,18.924,0.008,17.847,0.007,17.355,0.004,17.115,0.019
8.8689473,11.9005825,0.009,0.009,21.937,0.087,20.942,0.023,20.034,0.019,19.611,0.02,19.434,0.067
