raMean,decMean,raMeanErr,decMeanErr,gMeanPSFMag,gMeanPSFMagErr,rMeanPSFMag,rMeanPSFMagErr,iMeanPSFMag,iMeanPSFMagErr,zMeanPSFMag,zMeanPSFMagErr,Ang Sep (')
259.3076117,43.3764124,0.03,0.051,21.555,0.086,21.444,0.059,21.064,0.037,20.753,0.024,14.443
259.3076324,43.2100844,0.024,0.011,19.55,0.007,19.315,0.015,19.219,0.006,19.227,0.031,4.573
259.3076345,43.1279986,0.066,0.039,18.291,0.076,17.974,0.073,17.571,0.088,18.015,0.017,1.302
259.3076358,43.1406914,0.235,0.174,17.732,0.009,20.745,0.133,17.506,0.089,17.486,0.012,1.223
259.307642,43.1472407,0.027,0.015,16.017,0.015,16.259,0.046,16.444,0.01,16.624,0.008,1.359
259.3076616,43.0004574,0.003,0.006,19.945,0.006,19.677,0.013,19.579,0.007,19.533,0.037,8.251
259.3076747,43.0914669,0.003,0.015,17.745,0.011,17.377,0.012,17.211,0.006,17.14,0.008,2.957
259.3076752,43.0854843,0.016,0.025,19.665,0.007,19.321,0.022,19.318,0.019,19.257,0.054,3.289
259.3076937,43.1196929,0.224,0.058,18.142,0.066,17.982,0.056,17.821,0.028,18.024,0.041,1.568
259.3076942,43.1388149,0.15,0.024,17.345,0,17.314,-999,16.603,0.035,16.823,0,1.208
259.3076949,43.2733892,0.004,0.003,19.404,0.011,19.155,0.009,19.068,0.005,19.072,0.014,8.299
259.3077343,43.1078135,0.013,0.003,15.838,0.005,15.389,0.014,15.117,0.01,15.058,0.00062,2.1
259.3077604,43.1256507,0.027,0.029,18.455,0.039,18.257,0.108,17.711,0.127,17.989,-999,1.368
259.3077817,43.1751157,0.173,0.032,19.591,0.052,19.491,0.028,19.252,0.021,19.237,0.051,2.61
259.3077929,43.168245,0.017,0.007,18.176,0.003,17.885,0.018,17.787,0.015,17.83,0.062,2.252
259.3078145,43.1976545,0.052,0.013,20.581,0.042,20.121,0.018,19.943,0.007,19.923,0.059,3.861
259.3078227,43.067514,0.077,0.048,19.867,0.01,19.625,0.034,19.524,0.013,19.532,0.026,4.312
259.3078338,43.1951739,0.135,0.025,19.066,0.023,18.943,0.031,18.798,0.01,18.878,0.041,3.72
259.3078414,43.1771394,0.213,0.072,18.217,0.014,18.049,0.006,18.004,0.018,22.55,-999,2.719
259.3078833,43.1831237,0.014,0.02,20.49,0.042,20.101,0.075,19.906,0.04,19.855,0.08,3.046
259.30793,43.1505394,0.09,0.034,18.367,0.026,18.075,0.035,17.995,0.021,17.989,0.019,1.474
259.3079358,43.0484815,0.001,0.001,17.312,0.005,16.906,0.01,16.723,0.002,16.653,0.000972,5.419
259.3079381,43.0303166,0.099,0.046,13.297,0.019,12.862,-999,12.397,-999,12.102,-999,6.486
259.3079405,43.2448665,0.005,0.012,20.765,0.031,20.433,0.034,20.291,0.019,20.242,0.046,6.612
259.3079519,43.0865037,0.005,0.018,18.171,0.01,17.867,0.004,17.783,0.007,17.738,0.022,3.236
259.3079718,43.0432388,0.009,0.012,20.691,0.025,20.41,0.043,20.227,0.012,20.149,0.053,5.727
259.3079743,42.9296107,0.021,0.022,21.768,0.123,21.093,0.045,20.541,0.023,20.234,0.027,12.474
259.3079765,43.1527414,0.025,0.04,18.753,0.02,18.552,0.014,18.488,0.005,18.541,0.026,1.554
259.3079955,43.2133002,0.015,0.016,19.804,0.016,19.537,0.04,19.448,0.014,19.479,0.025,4.764
259.3080048,43.1995617,0.024,0.036,19.283,0.119,19.111,0.006,19.074,0.03,19.083,0.062,3.972
259.3080177,43.065657,0.04,0.029,21.055,0.043,20.552,0.026,20.577,0.055,20.476,0.122,4.422
259.3080249,43.0711793,0.014,0.016,21.081,0.04,20.784,0.051,20.705,0.041,20.706,0.124,4.104
259.3080354,43.3038315,0.011,0.017,21.313,0.037,20.812,0.032,20.72,0.023,20.65,0.063,10.112
259.3080648,43.1169042,0.015,0.077,19.039,0.012,18.968,0.052,18.597,0.022,18.574,0.095,1.692
259.3080957,43.1138292,0.009,0.064,19.996,0.03,18.989,0.154,19.227,0.155,19.256,0.042,1.826
259.3081296,43.1267515,0.187,0.022,17.664,0.018,17.57,0.068,17.168,0.02,17.293,0.021,1.353
259.3081717,43.1037371,0.049,0.013,17.845,0.029,17.639,0.038,17.523,0.011,17.489,0.001,2.315
259.3081852,43.1534108,0.019,0.019,18.946,0.033,18.617,0.023,18.45,0.071,18.23,0.015,1.587
259.3082009,43.0745223,0.025,0.025,20.556,0.016,20.238,0.028,20.174,0.02,20.117,0.074,3.916
259.308215,43.1602296,0.041,0.011,18.36,0.013,18.097,0.046,18.021,0.006,18.104,0.019,1.876
259.3082154,43.0991763,0.007,0.012,19.602,0.031,19.283,0.027,19.243,0.015,19.231,0.018,2.553
259.3082203,43.1358909,0.022,0.028,17.564,0.015,16.948,0.005,17.299,0.064,17.703,0.017,1.223
259.3082217,43.187079,0.095,0.032,20.648,0.032,20.176,0.026,19.989,0.019,20.057,0.036,3.271
259.3082339,43.1182628,0.005,0.011,15.295,0.039,15.003,0.065,15.074,0.025,15.205,0.038,1.642
259.3082406,43.1143433,0.196,0.063,18.566,0.044,18.342,0.061,18.242,0.036,18.323,0.065,1.808
259.3082777,43.1983289,0.019,0.035,21.661,0.1,21.046,0.028,20.765,0.032,20.696,0.136,3.906
259.3082966,43.1430801,0.018,0.01,15.835,0.016,15.422,0.033,15.153,0.024,15.427,0,1.288
259.3082984,43.1653327,0.024,0.022,18.619,0.016,18.441,0.035,18.277,0.01,18.325,0.06,2.119
259.3083015,43.2372629,0.021,0.014,19.954,0.028,19.682,0.015,19.602,0.013,19.601,0.006,6.168
259.3083016,43.1016651,0.018,0.042,19.064,0.016,18.798,0.028,18.743,0.011,18.734,0.047,2.425
259.3083076,43.1084425,0.078,0.087,17.874,0.06,17.79,0.017,17.654,0.021,17.568,0.027,2.084
259.3083107,43.0222414,0.005,0.011,20.361,0.015,20.072,0.017,19.885,0.012,19.794,0.057,6.966
259.3083118,43.1290904,0.008,0.032,17.731,0.013,17.248,0.013,17.064,0.015,16.995,0.000087,1.305
259.3083389,43.2700541,0.008,0.006,20.488,0.016,20.166,0.018,20.018,0.017,19.957,0.023,8.105
259.3083484,43.1582699,0.152,0.085,18.31,0.022,18.175,0.023,18.109,0.016,18.072,0.023,1.792
259.3083545,43.0569317,0.004,0.012,19.736,0.015,19.452,0.009,19.341,0.007,19.287,0.093,4.931
259.3083993,43.0813636,0.022,0.037,19.986,0.022,19.66,0.022,19.697,0.029,19.588,0.092,3.531
259.3084047,43.1279595,0.12,0.065,18.104,0.031,17.589,0.099,17.757,0.026,17.449,0.06,1.334
259.3084065,43.1667693,0.013,0.042,18.715,0.036,18.461,0.018,18.451,0.022,18.788,0.068,2.193
259.3084102,43.0875179,0.037,0.02,19.441,0.027,19.113,0.025,19.1,0.013,19.082,0.031,3.188
259.3084392,43.1884521,0.012,0.009,20.146,0.028,19.747,0.02,19.667,0.013,19.707,0.015,3.351
259.3084447,43.1479047,0.08,0.155,18.925,0.017,19.144,0.024,18.3,0.013,19.975,0.098,1.409
259.3084478,43.2243139,0.004,0.005,20.493,0.028,20.103,0.012,20.025,0.015,19.987,0.021,5.41
